Story Title,Estimate,Vote Started,Voting Duration,Avg Voting Time,Fastest,Slowest
"as a user, I want to learn about where music comes from",40,25/09/2017 02:01:32,0:01:56,0:01:24,Zach Burky,William Xu
"as a user, I want to see artists when I click the artists tab",3,25/09/2017 02:07:23,0:00:33,0:00:12,Zach Burky,William Xu
"as a user, I want to see albums when i click the albums tab",3,25/09/2017 02:08:34,0:00:14,0:00:06,Zach Burky,William Xu
"as a user, I want to see recent news articles in the music industry when I click the news tab",40,25/09/2017 02:05:58,0:00:41,0:00:11,Zach Burky,William Xu
"as a user, I want to see cities when I click the cities tab",13,25/09/2017 02:03:40,0:01:26,0:01:13,Zach Burky,William Xu
"as a user, I want to see information about an artist if I click on an artist on the artists page",3,25/09/2017 02:08:02,0:00:29,0:00:13,Zach Burky,William Xu
"as a user, I want to see information about an album if I click on an album on the album page",3,25/09/2017 02:08:52,0:00:43,0:00:22,Zach Burky,William Xu
"as a user, I want to read a news article that I see if I click on a news article on the news page",2,25/09/2017 02:06:43,0:00:13,0:00:05,Zach Burky,William Xu
"as a user, I want to see information about a city relating to hip hop when I click on a city on the city page",5,25/09/2017 02:05:09,0:00:23,0:00:12,Zach Burky,William Xu
"as a user, I want to be able to play a song from a page containing information about an album",3,25/09/2017 02:09:40,0:00:39,0:00:23,Zach Burky,William Xu
"as a user, I want to see search results when I type in a keyword in the search bar",8,25/09/2017 02:10:22,0:01:03,0:00:20,Zach Burky,William Xu
"as a user, I want to see the homepage when I type in the url",1,25/09/2017 02:11:31,0:00:37,0:00:18,Zach Burky,William Xu
"As a user, I want to filter artists by genre",8,17/10/2017 02:00:44,0:00:42,0:00:28,Christian,William Xu
"As a user, I want to filter albums by year",8,17/10/2017 02:23:41,0:01:00,0:00:23,Christian,William Xu
"As a user, I want to filter cities by population",5,17/10/2017 02:17:11,0:00:48,0:00:30,Christian,William Xu
"As a user, I want to sort artists by popularity",3,17/10/2017 02:13:22,0:01:36,0:00:39,Christian,William Xu
"As a user, I want to sort albums by release date",5,17/10/2017 02:22:10,0:01:29,0:00:19,Christian,William Xu
"As a user, I want to sort news by popularity",5,17/10/2017 02:24:45,0:02:19,0:00:35,Christian,William Xu
"As a user, I want to sort cities by population",3,17/10/2017 02:16:49,0:00:20,0:00:09,Christian,William Xu
"As a user, I want to sort a given thing by name",3,17/10/2017 02:18:37,0:03:30,0:00:41,Christian,William Xu
"As a user, I want to see the news articles related to an artist",8,17/10/2017 02:01:37,0:01:36,0:00:44,Christian,William Xu
"As a user, I want to see the news articles related to an album",5,17/10/2017 02:03:16,0:10:03,0:03:37,Christian,William Xu
"As a user, I want to search for anything by keyword",8,17/10/2017 02:15:11,0:01:35,0:00:59,Christian,William Xu
"As a user, I want to sort news by date",5,9/11/17 14:07:21,0:00:34,0:00:25,Christian,William Xu
"As a user, I want to filter albums by genre",8,9/11/17 14:11:17,0:00:39,0:00:31,Zach Burky,William Xu
"As a user, I want to filter cities by region",8,9/11/17 14:13:51,0:00:51,0:00:42,Christian,William Xu
"As a user, I want to see different models that match my search when I search something",13,9/11/17 14:14:45,0:03:19,0:00:51,Zach Burky,William Xu
"As a user, I want to be able to view an artist or album in spotify when I click the spotify button",3,9/11/17 14:17:09,0:00:29,0:00:16,Christian,William Xu
"As a user, I want to be able to view rich media related to an article when I click on the rich media link",3,9/11/17 14:18:29,0:02:36,0:01:09,Christian,William Xu
"As a user, I want to see the albums that an artist has released on the individual artist's page",3,9/11/17 14:20:31,0:00:28,0:00:16,Christian,William Xu
"As a user, I want to see the artists related to a news article on the individual article's page",5,9/11/17 14:21:07,0:00:32,0:00:21,Christian,William Xu
"As a user, I want to see the albums related to a news article on the individual article's page",5,9/11/17 14:22:12,0:00:45,0:00:31,Christian,William Xu
"As a user, I want to be able to see instances of each model by pages in each tab",8,9/11/17 14:24:55,0:01:32,0:00:51,Zach Burky,William Xu
"As a user, I want to see the number of commits, issues, and unit tests for each contributor in the about page",5,9/11/17 14:25:14,0:01:03,0:00:39,Christian,William Xu
"As a user, I want to see if the API is publicly available in the about page",3,9/11/17 14:26:34,0:02:27,0:01:19,Zach Burky,William Xu
